user_id,time,parameters
3421469416179006,2021-01-10 15:22:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
7131195221449381,2021-01-10 16:32:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
9229288830491223,2021-01-10 17:37:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
1904724133637512,2021-01-10 15:32:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
2696358638799740,2021-01-10 16:12:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
7143965242339839,2021-01-10 16:32:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
8403432579419442,2021-01-10 15:47:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
4811528808872486,2021-01-10 15:17:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
0990267155596196,2021-01-10 15:17:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
6659505969831487,2021-01-10 15:32:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
2250550973580647,2021-01-10 17:07:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
9459243475351642,2021-01-10 16:12:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
5405690641349167,2021-01-10 15:17:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
6058566912484476,2021-01-10 16:22:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
1219257178970798,2021-01-10 17:17:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
5911431459955832,2021-01-10 17:37:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
8529676791067881,2021-01-10 16:17:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
9798381066397528,2021-01-10 17:32:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
3036510022636716,2021-01-10 17:37:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
1595945223157108,2021-01-10 15:32:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
4979036123459769,2021-01-10 16:52:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
3969147610061194,2021-01-10 17:07:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
9391207291114564,2021-01-10 16:07:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
3407761610946431,2021-01-10 16:47:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
7199013383539398,2021-01-10 17:42:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
2363368386690053,2021-01-10 17:07:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
0665950373084181,2021-01-10 17:17:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
1122450884367760,2021-01-10 17:42:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
5349975568797477,2021-01-10 17:07:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
7711783680935265,2021-01-10 17:27:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
6894251258616707,2021-01-10 17:17:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
1904724133637512,2021-01-10 16:42:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
2928276244766216,2021-01-10 16:12:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
3969147610061194,2021-01-10 15:27:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
6666198905569109,2021-01-10 17:37:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
0874968083408760,2021-01-10 17:17:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
6139295604744510,2021-01-10 17:12:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
2523661701180907,2021-01-10 16:02:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
2467486923052388,2021-01-10 17:02:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
6952565545099760,2021-01-10 17:22:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
5905102306956449,2021-01-10 16:22:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
5133338322016794,2021-01-10 17:02:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
9679204818821170,2021-01-10 16:57:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
8364353089487424,2021-01-10 16:02:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
6139295604744510,2021-01-10 15:57:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
2014199503591823,2021-01-10 17:22:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
1383697407333771,2021-01-10 16:32:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
9679204818821170,2021-01-10 15:32:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
2043391891921006,2021-01-10 17:37:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
0429208164006121,2021-01-10 16:47:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
6423451623911500,2021-01-10 15:47:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
7914135374130460,2021-01-10 15:37:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
7613202184378929,2021-01-10 15:52:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
2662138129090246,2021-01-10 15:42:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
8403432579419442,2021-01-10 16:12:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
1390686884068096,2021-01-10 17:37:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
9633120716986769,2021-01-10 15:57:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
4540369313648409,2021-01-10 16:47:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
0452256167773857,2021-01-10 15:32:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
4366533570827584,2021-01-10 15:52:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
7914135374130460,2021-01-10 15:22:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
0984798055927264,2021-01-10 15:37:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
2227691610618910,2021-01-10 16:47:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
8998077951907456,2021-01-10 17:32:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
5405690641349167,2021-01-10 17:27:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
0474284525941404,2021-01-10 16:47:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
3721654159522720,2021-01-10 17:27:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
0362003094376660,2021-01-10 16:17:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
3436311035485549,2021-01-10 16:17:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
5546798527813127,2021-01-10 15:52:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
8442223270850595,2021-01-10 17:07:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
6423451623911500,2021-01-10 15:27:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
2750557699577941,2021-01-10 16:57:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
5238469605067560,2021-01-10 15:52:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
3092003306601195,2021-01-10 15:47:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
7621269710096860,2021-01-10 17:37:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': '/'}}"
1810565954127141,2021-01-10 16:27:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
9741150673749644,2021-01-10 17:42:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
6110153048318416,2021-01-10 16:12:54,"{'event_name': 'Open Page', 'event_desc': {'page_name': 'Login'}}"
2998768682952328,2021-01-10 15:47:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'Contact'}}"
1435157110068127,2021-01-10 17:37:54,"{'event_name': 'Click Button', 'event_desc': {'button_name': 'SignUp'}}"
